,trail_id,name,area_name,city_name,state_name,country_name,popularity,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,length_miles,elevation_gain_feet,latitude,longitude,difficulty,features_count,activities_count
0,10020048,Harding Ice Field Trail,Kenai Fjords National Park,Seward,Alaska,United States,24.8931,5,out and back,5.0,423,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",9.699972889858,3812.000121984,60.18852,-149.63156,hard,7,5
1,10236086,Mount Healy Overlook Trail,Denali National Park,Denali National Park,Alaska,United States,18.0311,3,out and back,4.5,260,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",4.299987982102,1666.000053312,63.73049,-148.91968,moderate,5,5
2,10267857,Exit Glacier Trail,Kenai Fjords National Park,Seward,Alaska,United States,17.7821,1,out and back,4.5,224,"['dogs-no', 'partially-paved', 'views', 'wildlife']","['hiking', 'walking']",1.7999949692519999,269.00000860800003,60.18879,-149.631,easy,4,2
3,10236076,Horseshoe Lake Trail,Denali National Park,Denali National Park,Alaska,United States,16.2674,1,loop,4.5,237,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",2.099994130794,393.000012576,63.73661,-148.915,easy,7,5
4,10236082,Triple Lakes Trail,Denali National Park,Denali National Park,Alaska,United States,12.5935,5,out and back,4.5,110,"['dogs-no', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running']",18.49994829509,3690.00011808,63.73319,-148.89682,hard,5,5
5,10241620,Bison Gulch,Denali National Park,Denali National Park,Alaska,United States,8.8331,5,out and back,4.5,43,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'nature-trips']",6.9999804359799995,3868.0001237760002,63.80507,-148.95336,hard,4,2
6,10236080,Rock Creek Trail,Denali National Park,Denali National Park,Alaska,United States,7.6876,3,out and back,4.0,39,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",4.3999877026159995,944.000030208,63.73056,-148.91955,moderate,5,5
7,10236075,Taiga Trail,Denali National Park,Denali National Park,Alaska,United States,5.9038,3,loop,4.0,27,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",1.599995528224,206.000006592,63.73043,-148.91922,moderate,5,5
8,10236084,McKinley Station Trail,Denali National Park,Denali National Park,Alaska,United States,5.8885,1,loop,4.5,21,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",2.8999918949060004,374.00001196799997,63.73324,-148.89659,easy,6,5
9,10327620,Mount Thorofare Ridge Loop,Denali National Park,Cantwell,Alaska,United States,5.799,5,loop,4.5,5,"['forest', 'views', 'wild-flowers', 'wildlife']",['hiking'],4.099988541074,1666.000053312,63.43108,-150.31096,hard,4,1
10,10265252,McKinley Bar Trail,Denali National Park,Denali National Park,Alaska,United States,5.6536,1,out and back,4.0,17,"['dogs-no', 'lake', 'kids', 'river', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",4.599987143644,971.0000310720001,63.45799,-150.85,easy,6,4
11,10333556,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4.6043,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",2.9999916154200004,521.000016672,63.73128,-148.9171,moderate,4,4
12,10265251,Blueberry Hill Trail,Denali National Park,Denali National Park,Alaska,United States,4.1956,3,out and back,4.5,6,"['dogs-no', 'lake', 'views', 'wildlife']",['hiking'],0.8999974846259999,154.000004928,63.49541,-150.88137,moderate,4,1
13,10393562,Stampede Trail to Sushana River,Denali National Park,Healy,Alaska,United States,3.958,5,out and back,4.5,3,"['historic-site', 'river', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",38.199893236348004,4242.0001357440005,63.88374,-149.26764,hard,4,4
14,10262541,Bartlett Cove Forest Loop Trail,Glacier Bay National Park,Gustavus,Alaska,United States,3.8939,1,loop,4.5,14,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'sea-kayaking']",1.0999969256539999,111.000003552,58.45462,-135.88312,easy,5,5
